Model,AUC-ROC,F1,Sensitivity,Specificity,MCC,Cohen Kappa,Log Loss
Logistic Regression,0.4975,0.4685,0.445,0.5476,-0.0074,-0.0074,0.6934
Random Forest,0.499,0.4962,0.495,0.5022,-0.0028,-0.0028,0.7831
SVM,0.5,0.4926,0.489,0.506,-0.0049,-0.0049,0.6931
XGBoost,0.4946,0.4886,0.4841,0.5053,-0.0106,-0.0106,0.7024
LightGBM,0.4928,0.4854,0.4754,0.5188,-0.0057,-0.0057,0.7007
MLP,0.4931,0.5083,0.5251,0.4615,-0.0133,-0.0133,0.7093
